 #description: ./ptr5_files/IMO/CompTest5_0001.prt5
 #ID: the agent ID
 #FR: the current frame
 #X,Y,Z: the agents coordinates (in metres)
 #ID	FR	X	Y	Z
   1    1          4.0661          3.7231          1.0000
   2    1          4.9219          4.7429          1.0000
   3    1          0.8207          3.6117          1.0000
   4    1          2.8553          3.2792          1.0000
   5    1          7.6819          2.9074          1.0000
   6    1          4.5364          1.8268          1.0000
   7    1          4.6037          2.8993          1.0000
   8    1          6.0875          1.0309          1.0000
   9    1          7.8430          1.5865          1.0000
  10    1          6.6886          4.7342          1.0000
   1    2          4.0661          3.7231          1.0000
   2    2          4.9219          4.7429          1.0000
   3    2          0.8220          3.6117          1.0000
   4    2          2.8553          3.2792          1.0000
   5    2          7.6819          2.9074          1.0000
   6    2          4.5364          1.8268          1.0000
   7    2          4.6037          2.8992          1.0000
   8    2          6.0875          1.0309          1.0000
   9    2          7.8430          1.5865          1.0000
  10    2          6.6886          4.7342          1.0000
   1    3          4.0661          3.7232          1.0000
   2    3          4.9219          4.7429          1.0000
   3    3          0.8257          3.6117          1.0000
   4    3          2.8553          3.2792          1.0000
   5    3          7.6819          2.9074          1.0000
   6    3          4.5364          1.8268          1.0000
   7    3          4.6037          2.8992          1.0000
   8    3          6.0875          1.0309          1.0000
   9    3          7.8430          1.5865          1.0000
  10    3          6.6886          4.7342          1.0000
   1    4          4.0660          3.7232          1.0000
   2    4          4.9219          4.7429          1.0000
   3    4          0.8290          3.6117          1.0000
   4    4          2.8553          3.2792          1.0000
   5    4          7.6819          2.9074          1.0000
   6    4          4.5364          1.8268          1.0000
   7    4          4.6038          2.8991          1.0000
   8    4          6.0875          1.0309          1.0000
   9    4          7.8430          1.5865          1.0000
  10    4          6.6886          4.7342          1.0000
   1    5          4.0660          3.7233          1.0000
   2    5          4.9219          4.7429          1.0000
   3    5          0.8322          3.6117          1.0000
   4    5          2.8553          3.2792          1.0000
   5    5          7.6819          2.9074          1.0000
   6    5          4.5364          1.8268          1.0000
   7    5          4.6038          2.8990          1.0000
   8    5          6.0875          1.0309          1.0000
   9    5          7.8430          1.5865          1.0000
  10    5          6.6886          4.7342          1.0000
   1    6          4.0659          3.7233          1.0000
   2    6          4.9219          4.7429          1.0000
   3    6          0.8349          3.6117          1.0000
   4    6          2.8553          3.2792          1.0000
   5    6          7.6819          2.9074          1.0000
   6    6          4.5364          1.8268          1.0000
   7    6          4.6039          2.8990          1.0000
   8    6          6.0875          1.0310          1.0000
   9    6          7.8430          1.5865          1.0000
  10    6          6.6886          4.7342          1.0000
